JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449924.83,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449925.97,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449926.89,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449927.93,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449929.89,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449930.89,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449939.82,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449940.8,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449942.84,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449943.85,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449944.81,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449948.97,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449949.88,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449953.84,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449954.83,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449955.87,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449958.8,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449959.85,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449968.81,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
