JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2454204.16115	7.938	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.535		GW LIB		STD				
2454204.16128	8.221	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.590		GW LIB		STD				
2454204.16141	7.937	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.515		GW LIB		STD				
2454204.16163	8.221	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.578		GW LIB		STD				
2454204.16175	7.935	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.496		GW LIB		STD				
2454204.16188	8.217	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.588		GW LIB		STD				
2454204.16201	7.923	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.503		GW LIB		STD				
2454204.16223	8.214	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.578		GW LIB		STD				
2454204.16236	7.929	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.523		GW LIB		STD				
2454204.16248	8.218	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.583		GW LIB		STD				
2454204.16261	7.933	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.511		GW LIB		STD				
2454204.16283	8.216	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.582		GW LIB		STD				
2454204.16297	7.936	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.465		GW LIB		STD				
2454204.16310	8.227	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.581		GW LIB		STD				
2454204.16324	7.927	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.468		GW LIB		STD				
2454204.16344	8.213	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.579		GW LIB		STD				
2454204.16357	7.935	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.496		GW LIB		STD				
2454204.16370	8.214	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.587		GW LIB		STD				
2454204.16383	7.921	0.0017		B	RIX		94	106	070412		0		Z	9.500	12.476		GW LIB		STD				
2454204.16405	8.213	0.0014		V	RIX		94	106	070412		0		Z	9.200	10.587		GW LIB		STD				
