Nt =   3863
LC of   212593538
    2395.226703    3425.710079    3391.923936
    2395.247136    3441.447866    3406.711420
    2395.267570    3432.247264    3399.178727
    2395.288004    3429.689807    3395.876004
    2395.308437    3431.462616    3397.721224
    2395.328871    3422.294882    3389.292984
    2395.349304            NaN            NaN
    2395.369738    3417.604861    3383.797307
    2395.390172    3418.906760    3384.604826
    2395.410605    3433.934857    3399.198292
    2395.431039    3417.851120    3384.987489
    2395.451472    3418.860576    3385.969582
    2395.471906    3428.819252    3395.841666
    2395.492340    3424.553431    3391.945930
    2395.512773    3416.617542    3387.712146
    2395.533207    3418.051982    3390.595451
    2395.553641            NaN            NaN
    2395.574074    3427.347680    3398.520391
    2395.594508    3417.353479    3387.944634
    2395.614941    3425.655178    3396.531879
    2395.635375    3439.001104    3409.272855
    2395.655809    3419.243254    3389.510802
    2395.676242    3428.484997    3399.271058
    2395.696676    3419.618578    3386.630472
    2395.717109    3427.742636    3394.999230
    2395.737543    3418.849213    3387.372023
    2395.757976    3418.164135    3387.273960
    2395.778410    3423.753020    3395.678604
    2395.798844    3426.701692    3397.397732
    2395.819277    3422.249689    3393.670843
    2395.839711    3419.896027    3392.204507
    2395.860145    3421.131044    3391.995190
    2395.880578    3414.191508    3385.239683
    2395.901012    3425.971767    3396.519714
    2395.921445    3421.698366    3391.918096
    2395.941879    3417.610174    3389.992487
    2395.962313    3432.268896    3401.163737
    2395.982746    3428.573434    3395.607550
    2396.003180    3434.743574    3401.844031
    2396.023613    3424.201017    3390.797262
    2396.044047            NaN            NaN
    2396.064481            NaN            NaN
    2396.084914    3406.181728    3374.464706
    2396.105348    3431.532325    3399.899127
    2396.125781    3416.963336    3386.188136
    2396.146215    3423.021329    3393.616797
    2396.166649            NaN            NaN
    2396.187082    3424.891436    3393.895538
    2396.207516    3423.346819    3390.706861
    2396.227949    3416.509372    3387.382652
    2396.248383    3424.403995    3395.212237
    2396.268817    3434.102919    3402.357051
    2396.289250    3425.371509    3391.019359
    2396.309684    3418.456906    3384.359920
    2396.330117    3435.433581    3399.667202
    2396.350551    3420.542487    3385.943200
    2396.370985    3414.704525    3381.771077
    2396.391418    3428.761381    3397.399304
    2396.411852    3435.299442    3405.177195
    2396.432285    3426.308055    3397.263569
    2396.452719    3422.735578    3393.595149
    2396.473153    3424.002055    3394.153797
    2396.493586    3433.829877    3402.686957
    2396.514020    3423.198255    3391.692742
    2396.534453    3437.569004    3407.639773
    2396.554887    3432.771561    3402.313146
    2396.575321    3426.620130    3395.065230
    2396.595754    3431.580611    3400.150429
    2396.616188    3418.088319    3387.023241
    2396.636621    3419.450082    3390.493730
    2396.657055            NaN            NaN
    2396.677489    3420.249572    3385.884978
            NaN            NaN            NaN
            NaN            NaN            NaN
            NaN            NaN            NaN
    2396.759223    3421.872073    3391.278015
    2396.779657    3434.119941    3402.377361
    2396.800090    3418.416295    3386.608781
    2396.820524    3426.433391    3394.379095
    2396.840958            NaN            NaN
    2396.861391    3413.254742    3381.186346
    2396.881825    3423.485184    3389.735326
    2396.902258    3434.439292    3398.372253
    2396.922692    3420.124678    3386.272012
    2396.943126    3429.733169    3394.820451
    2396.963559    3415.022634    3381.787624
    2396.983993    3416.409545    3384.308797
    2397.004426    3418.658957    3386.789995
    2397.024860    3435.457870    3403.391061
    2397.045294    3424.752883    3394.528183
    2397.065727    3425.527509    3395.408658
    2397.086161    3434.780550    3402.718462
    2397.106594    3402.324487    3372.977624
    2397.127028    3408.965272    3379.076573
    2397.147462    3417.808727    3385.303315
    2397.167895    3404.307779    3371.777174
    2397.188329    3409.861951    3377.234830
    2397.208762    3416.182158    3384.516309
    2397.229196            NaN            NaN
    2397.249630    3425.698775    3391.778424
    2397.270063            NaN            NaN
    2397.290497            NaN            NaN
    2397.310930            NaN            NaN
    2397.331364    3428.754314    3395.442973
    2397.351798            NaN            NaN
    2397.372231    3417.656252    3386.108438
    2397.392665    3429.770215    3394.420461
    2397.413098    3432.169173    3396.966694
    2397.433532    3419.394870    3385.372426
    2397.453966    3420.122420    3388.292044
    2397.474399    3430.333334    3397.248857
    2397.494833    3421.655998    3385.162712
    2397.515266    3432.542026    3396.310292
    2397.535700    3418.937224    3382.994596
    2397.556134    3430.141966    3394.828130
    2397.576567    3418.354326    3382.765393
    2397.597001    3411.278785    3377.204103
    2397.617434    3423.563430    3391.075783
    2397.637868            NaN            NaN
    2397.658302    3427.408810    3393.149410
    2397.678735    3430.221869    3397.882486
    2397.699169    3417.407865    3384.786434
    2397.719602    3419.256264    3385.119313
    2397.740036    3421.944918    3389.608671
    2397.760470    3413.656986    3380.917466
    2397.780903    3426.123961    3390.318038
    2397.801337    3422.297802    3385.693499
    2397.821770    3417.758650    3382.610382
    2397.842204    3413.807983    3377.189877
    2397.862638    3409.715580    3376.512881
    2397.883071    3417.937428    3384.464271
    2397.903505    3422.066985    3390.460182
    2397.923939    3416.368915    3385.003842
    2397.944372    3420.902976    3389.815876
    2397.964806    3413.117716    3380.782340
    2397.985239    3430.338268    3399.353229
    2398.005673    3429.774251    3399.324841
    2398.026106    3419.894063    3388.373138
    2398.046540    3424.921793    3394.051144
    2398.066974    3416.480112    3386.994611
    2398.087407    3426.300203    3393.491955
    2398.107841    3419.889519    3386.575166
    2398.128275            NaN            NaN
    2398.148708    3420.531608    3386.838668
    2398.169142    3413.137200    3380.173360
    2398.189575    3424.754887    3393.013952
    2398.210009    3428.446731    3395.071528
    2398.230443    3411.383460    3380.300780
    2398.250876    3421.990778    3389.225534
    2398.271310    3423.557409    3389.931264
    2398.291743    3427.006956    3394.345291
    2398.312177    3421.913207    3389.522859
    2398.332611    3418.799416    3386.643506
    2398.353044    3415.870634    3384.322849
    2398.373478    3424.914248    3392.376442
    2398.393911    3420.121323    3386.129079
    2398.414345    3419.454356    3382.073671
    2398.434779    3412.700547    3379.881863
    2398.455212    3411.150878    3377.390384
    2398.475646            NaN            NaN
    2398.496079    3412.161670    3379.454423
    2398.516513    3418.310997    3386.627863
    2398.536947    3424.808215    3394.373954
    2398.557380    3409.093922    3377.566196
    2398.577814            NaN            NaN
    2398.598247    3432.081844    3398.935231
    2398.618681            NaN            NaN
    2398.639115    3428.709448    3391.877263
    2398.659548    3422.916441    3388.258496
    2398.679982    3436.048252    3399.452270
    2398.700415    3422.288437    3385.513736
    2398.720849    3415.124761    3377.458571
    2398.741283    3423.630205    3385.079590
    2398.761716    3410.445115    3373.766781
    2398.782150    3416.862801    3380.588094
    2398.802583    3416.840601    3384.374166
    2398.823017    3417.213880    3386.477347
    2398.843451    3420.238440    3387.288382
    2398.863884    3406.388800    3374.051002
    2398.884318    3419.745574    3387.033694
    2398.904752    3421.963696    3390.469849
    2398.925185    3410.899426    3379.847939
    2398.945619    3422.780020    3391.015820
    2398.966052    3424.367253    3394.223239
    2398.986486    3410.263143    3377.218162
    2399.006919    3418.931062    3384.621535
    2399.027353    3417.922622    3381.869029
    2399.047787    3431.706125    3394.824793
    2399.068220    3421.662362    3384.653690
    2399.088654    3422.946198    3390.501120
    2399.109088            NaN            NaN
    2399.129521    3420.323203    3387.441067
    2399.149955    3418.727182    3386.805316
    2399.170388    3417.808303    3387.822274
    2399.190822    3425.411526    3392.917993
    2399.211256    3415.346098    3386.397258
    2399.231689    3419.913197    3387.208472
    2399.252123    3425.047057    3393.239453
    2399.272556    3427.493760    3392.107254
    2399.292990    3427.878220    3393.231105
    2399.313424    3423.076864    3388.892079
    2399.333857    3418.675519    3382.463795
    2399.354291            NaN            NaN
    2399.374724    3429.531969    3387.512771
    2399.395158    3428.221150    3386.547809
    2399.415592    3418.700320    3378.155600
    2399.436025    3425.496107    3387.349944
    2399.456459    3424.561357    3386.624340
    2399.476892    3429.549479    3393.953313
    2399.497326    3429.515642    3394.058905
    2399.517760    3427.792006    3392.344509
    2399.538193    3427.518754    3392.825806
    2399.558627    3412.527048    3376.762937
    2399.579060    3417.090281    3383.177466
    2399.599494    3429.219806    3392.551677
    2399.619928    3433.240196    3397.824036
    2399.640361    3423.051532    3387.581949
    2399.660795    3409.429420    3372.945860
